,Unnamed: 0,Season,Episode,Duration,Average BPM,Danceability,average_loudness,dynamic_complexity,dissonance,spectral_energyband_low,spectral_energyband_middle_low,spectral_energyband_middle_high,spectral_energyband_high,onset_rate,beats_loudness,key_edma_key,key_edma_scale,key_edma_strength,chords_key,chords_scale,chords_strength,chords_changes_rate,pitch_salience,silence_rate_60dB,loudness_ebu128_integrated,zerocrossingrate,melbands_flatness_db,hfc,spectral_centroid,spectral_spread,spectral_rms,spectral_energy,spectral_flux,spectral_complexity,spectral_entropy,spectral_kurtosis
0,Coping,10,1,0,117.27627563476562,1.1005040407180786,0.4253152310848236,3.4685263633728027,0.4314653873443603,0.0145043404772877,0.0146337999030947,0.0038288217037916,0.0003191033611074,3.8766255378723145,0.0457326062023639,Eb,minor,0.5349626541137695,Bb,major,0.5423004031181335,0.0537539757788181,0.5350115299224854,0.0851387977600097,-24.4328556060791,0.0362907536327838,0.3078232705593109,14.423002243041992,882.9459228515625,3141810.5,0.0049957558512687,0.0322189889848232,0.0759562402963638,13.123628616333008,6.841205596923828,24.45736122131348
1,Death,4,3,0,119.8935775756836,1.0945138931274414,0.3736747801303863,3.6923460960388175,0.4493098855018616,0.0114079574123024,0.0115403905510902,0.004381934646517,0.0004553442122414,3.091994524002075,0.0361542403697967,F,major,0.4843471050262451,C,major,0.5220524072647095,0.0627902001142501,0.5335773229598999,0.0894381552934646,-24.18552589416504,0.0486790798604488,0.2749567329883575,15.47115993499756,1123.689453125,3921527.75,0.0045885578729212,0.0270950477570295,0.0748738050460815,14.851734161376951,7.1745476722717285,10.324472427368164
2,Nightmares,2,3,0,164.7589111328125,0.9935768246650696,0.1840262711048126,2.9505300521850586,0.4583252370357513,0.0277816019952297,0.0125686582177877,0.0050909640267491,0.0007357788854278,2.389900922775269,0.0503082536160945,D,major,0.4520036280155182,D,minor,0.5087320804595947,0.0705594420433044,0.4942093193531036,0.0417497120797634,-24.26225471496582,0.0448006875813007,0.285937637090683,19.700836181640625,1110.3223876953125,3791677.25,0.0060454714111983,0.0449829138815403,0.0939976200461387,17.951257705688477,7.1838059425354,10.956311225891112
3,Bliss,12,3,0,162.78770446777344,0.9408336281776428,0.0495271533727645,5.0965423583984375,0.4252475798130035,0.0180094819515943,0.0133721912279725,0.002855155384168,0.0002192107203882,2.265965700149536,0.0363159514963626,F,major,0.771806538105011,C,major,0.5514945387840271,0.0540733337402343,0.5034963488578796,0.1407933235168457,-24.752092361450195,0.03483172878623,0.3398053050041199,11.34460735321045,782.0827026367188,3210750.5,0.004871776793152,0.0332497954368591,0.0657689422369003,11.510272979736328,6.647563934326172,29.20805931091309
4,Dreams,10,2,0,128.51455688476562,0.9822649955749512,0.2839623391628265,5.029745101928711,0.4568020701408386,0.0116156032308936,0.0080404905602335,0.0041185203008353,0.0014218483120203,3.667459011077881,0.0304163005203008,F#,minor,0.4677506983280182,C,minor,0.5020301342010498,0.0909029394388198,0.5220550298690796,0.2027008682489395,-21.072481155395508,0.0725284069776535,0.243297278881073,20.170917510986328,1588.035888671875,4238045.0,0.0041300542652606,0.0243733879178762,0.0777291879057884,14.673593521118164,7.318795680999756,13.440757751464844
5,Family,11,1,0,136.86090087890625,1.0407179594039917,0.1255052387714386,5.506478309631348,0.434253454208374,0.0087985359132289,0.010292331688106,0.004143816884607,0.000608412316069,4.060546875,0.030581122264266,C,major,0.741640567779541,B,minor,0.5124711990356445,0.0788241773843765,0.5369264483451843,0.20698082447052,-23.265491485595703,0.0534814447164535,0.270285964012146,15.106976509094238,1124.2613525390625,4050431.25,0.0039553265087306,0.0228798780590295,0.0677367225289344,11.490103721618652,7.062375068664551,19.980358123779297
6,Conflict,5,2,0,129.7490997314453,1.082335114479065,0.1681139171123504,4.767541408538818,0.451035588979721,0.0187003929167985,0.0102725364267826,0.0039965249598026,0.0010905875824391,3.268988132476806,0.045009758323431,F,minor,0.6772106289863586,Ab,major,0.5289765000343323,0.0810306444764137,0.5287898778915405,0.1558283120393753,-24.073265075683597,0.0580742955207824,0.2599524557590484,20.17207908630371,1194.51416015625,4329991.0,0.004762799013406,0.0327085442841053,0.0809951871633529,15.32644271850586,7.304584503173828,10.838297843933104
7,Paradise,7,3,0,162.61810302734375,1.0328164100646973,0.0409669913351535,3.8093183040618896,0.4515562653541565,0.0159823354333639,0.0103495866060256,0.0043958346359431,0.0008832219755277,3.5567095279693604,0.0365043245255947,F,major,0.725936770439148,F,minor,0.5150883793830872,0.0697530433535575,0.5132057666778564,0.097444362938404,-24.281986236572266,0.0588353127241134,0.2799373567104339,18.669403076171875,1235.48193359375,4129341.75,0.0047625172883272,0.0304813273251056,0.0793060883879661,14.082000732421877,7.156550884246826,20.443819046020508
8,Love,8,2,0,120.02643585205078,1.0713655948638916,0.41813924908638,4.464523315429688,0.4410708844661712,0.0117647880688309,0.0112303383648395,0.0037249152082949,0.000559673178941,3.7664811611175537,0.0361171551048755,G,major,0.6892734169960022,A,minor,0.5125283002853394,0.0893473178148269,0.5138072371482849,0.1304077804088592,-24.246313095092773,0.0495371669530868,0.2971328794956207,15.19040298461914,1118.5208740234375,3555503.25,0.0044314125552773,0.0263717155903577,0.0752613916993141,12.560546875,6.948691368103027,15.298591613769531
